first_name,second_name,web_name,id,team,total_points,dreamteam_count,element_type,in_dreamteam,now_cost,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
Mason,Holgate,Holgate,478,8,71,0,2,FALSE,42,2.6,2052,0,4,5,34,0,0,0,5,0,0,6,412,465.4,63.9,152,68.3
Anthony,Gordon,Gordon,561,8,17,0,4,FALSE,45,1.5,436,0,1,0,6,0,0,0,0,0,0,1,63,76,98.4,44,21.8
Jarrad,Branthwaite,Branthwaite,637,8,11,0,2,FALSE,40,2.8,299,0,0,1,6,0,0,0,0,0,0,2,69,66,2.2,0,6.9
Christian,Fuchs,Fuchs,163,9,26,0,2,FALSE,42,2.4,770,0,0,2,10,0,0,0,0,0,0,2,139,144.4,53.5,20,21.8
Marc,Albrighton,Albrighton,174,9,38,0,3,FALSE,51,1.9,857,0,3,3,11,0,0,0,2,0,0,1,185,190.6,287.9,102,58.1
Ryan,Bennett,Bennett,404,9,32,0,2,FALSE,48,2,932,0,0,3,17,0,0,0,2,0,0,2,176,161.4,41,16,21.8
Joseph,Gomez,Gomez,184,10,93,0,2,FALSE,53,3.3,1999,0,0,12,16,0,0,0,7,0,0,7,461,390.6,105.7,12,50.9
Neco,Williams,Williams,575,10,14,0,2,FALSE,40,2.3,228,0,0,1,2,0,0,0,1,0,0,3,53,49.4,53.3,98,20
Benjamin,Mendy,Mendy,204,11,74,0,2,FALSE,55,3.9,1491,0,2,9,13,0,0,0,3,0,0,3,378,243,403.2,106,75.5
Oleksandr,Zinchenko,Zinchenko,206,11,49,0,2,FALSE,52,2.6,1271,0,0,6,15,0,0,0,0,1,0,1,295,232,375.8,102,71.2
Fernando,Luiz Rosa,Fernandinho,221,11,55,0,3,FALSE,51,1.8,2394,0,1,10,27,1,0,0,7,2,0,1,401,557.6,146.2,175,87.9
José Ángel,Esmorís Tasende,Angeliño,440,11,11,0,2,FALSE,46,1.8,422,0,1,0,7,0,0,0,1,0,0,1,94,92.6,164,58,31.6
João Pedro Cavaco,Cancelo,Cancelo,518,11,45,0,2,FALSE,51,2.6,1205,0,0,5,11,0,0,0,4,0,0,3,299,265,287.6,141,69.3
Luke,Shaw,Shaw,226,12,67,0,2,FALSE,54,2.8,1730,0,0,8,15,0,0,0,7,0,0,2,381,344.2,321.2,187,85.1
Nemanja,Matic,Matic,247,12,55,0,3,FALSE,48,2.6,1578,0,2,10,13,0,0,0,2,0,0,2,287,357.4,250.3,53,66.2
Paul,Dummett,Dummett,255,13,44,0,2,FALSE,43,2.8,1227,0,0,5,20,1,0,0,2,0,0,4,230,265.2,63.1,50,37.7
Emil,Krafth,Krafth,519,13,37,0,2,FALSE,43,2.2,1015,0,1,3,23,0,0,0,0,0,0,2,187,184.4,28.8,39,25.2
Christoph,Zimmermann,Zimmermann,275,14,35,0,2,FALSE,44,2.1,1430,0,1,3,27,0,0,0,3,0,0,1,247,366.4,25.5,62,45.6
Grant,Hanley,Hanley,277,14,23,0,2,FALSE,40,1.5,1261,0,0,2,25,1,0,0,4,0,0,1,214,318.8,3.6,76,40
Sam,Byram,Byram,454,14,32,0,2,FALSE,43,1.9,1292,0,0,3,23,0,0,0,4,0,0,2,201,273.2,109.2,218,60.2
