Pos,Name,BV,SV,Team,36_xMins,36_Pts
F,Wood,6.4,6.4,Burnley,76,4.64
D,Lowton,4.4,4.4,Burnley,88,2.772
F,Vydra,4.8,4.8,Burnley,49,2.723
D,Gibson,3.9,3.9,Burnley,0,0
M,Brady,5.0,5.0,Burnley,0,0
G,Pope,5.5,5.5,Burnley,90,3.641
D,Taylor,4.4,4.4,Burnley,84,2.575
M,Brownhill,4.9,4.9,Burnley,78,2.806
G,Peacock-Farrell,4.0,4.0,Burnley,0,0
M,McNeil,5.7,5.7,Burnley,84,3.169
G,Caballero,4.6,4.6,Chelsea,0,0
D,Azpilicueta,5.9,5.9,Chelsea,0,0
F,Giroud,6.7,6.7,Chelsea,0,0
D,Alonso,5.7,5.7,Chelsea,0,0
M,Jorginho,4.7,4.7,Chelsea,0,0
M,Barkley,5.8,5.8,Aston Villa,47,2.411
M,Kovacic,5.3,5.3,Chelsea,0,0
F,Batshuayi,5.7,5.7,Crystal Palace,1,0.051
D,Rüdiger,4.7,4.7,Chelsea,0,0
D,Zouma,5.3,5.3,Chelsea,0,0
D,Emerson,4.7,4.7,Chelsea,0,0
G,Arrizabalaga,4.7,4.7,Chelsea,0,0
M,Kanté,4.9,4.9,Chelsea,0,0
M,Ziyech,7.9,7.9,Chelsea,0,0
M,Loftus-Cheek,5.9,5.9,Fulham,64,2.428
D,Christensen,4.7,4.7,Chelsea,0,0
F,Werner,9.2,9.2,Chelsea,0,0
F,Abraham,7.1,7.1,Chelsea,0,0
M,Pulisic,8.3,8.3,Chelsea,0,0
M,Mount,7.3,7.3,Chelsea,0,0
D,Tomori,4.7,4.7,Chelsea,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,0,0
D,James,5.1,5.1,Chelsea,0,0
M,Gilmour,4.3,4.3,Chelsea,0,0
D,Cahill,4.5,4.5,Crystal Palace,59,1.926
G,Hennessey,4.3,4.3,Crystal Palace,0,0
D,Sakho,4.4,4.4,Crystal Palace,0,0
G,Guaita,4.8,4.8,Crystal Palace,89,3.492
D,Tomkins,4.4,4.4,Crystal Palace,38,1.228
M,McArthur,5.2,5.2,Crystal Palace,27,0.94
M,McCarthy,4.3,4.3,Crystal Palace,12,0.392
F,Benteke,5.5,5.5,Crystal Palace,72,3.488
M,Kouyaté,4.8,4.8,Crystal Palace,77,2.253
D,Ward,4.3,4.3,Crystal Palace,75,2.333
D,Kelly,4.1,4.1,Crystal Palace,0,0
F,Wickham,4.4,4.4,Crystal Palace,0,0
M,Townsend,5.5,5.5,Crystal Palace,53,2.3
M,Milivojevic,5.6,5.6,Crystal Palace,81,2.77
D,van Aanholt,5.4,5.4,Crystal Palace,27,1.032
F,Ayew,5.6,5.6,Crystal Palace,44,1.909
M,Zaha,7.2,7.2,Crystal Palace,84,3.902
M,Schlupp,5.3,5.3,Crystal Palace,48,1.904
M,Meyer,4.7,4.7,Crystal Palace,0,0
M,Riedewald,4.4,4.4,Crystal Palace,37,1.234
D,Ferguson,3.8,3.8,Crystal Palace,1,0.031
D,Mitchell,3.8,3.8,Crystal Palace,61,1.873
M,Pierrick,4.3,4.3,Crystal Palace,0,0
M,Walcott,5.8,5.8,Southampton,62,2.987
M,Delph,4.8,4.8,Everton,6,0.21
M,Sigurdsson,6.9,6.9,Everton,69,4.3
G,Lössl,4.3,4.3,Everton,0,0
D,Coleman,4.9,4.9,Everton,40,2.288
F,Tosun,6.0,6.0,Everton,0,0
M,Bernard,5.7,5.7,Everton,10,0.505
D,Digne,6.2,6.2,Everton,82,5.093
D,Keane,5.0,5.0,Everton,77,4.044
G,Pickford,4.8,4.8,Everton,89,4.39
M,André Gomes,5.3,5.3,Everton,27,1.092
M,Iwobi,5.9,5.9,Everton,34,1.638
D,Kenny,4.3,4.3,Everton,0,0
M,Gbamin,5.0,5.0,Everton,0,0
D,Mina,5.5,5.5,Everton,40,2.094
M,Davies,5.2,5.2,Everton,27,1.087
F,Calvert-Lewin,7.6,7.5,Everton,81,5.338
D,Holgate,4.8,4.8,Everton,69,3.523
F,Richarlison,7.8,7.8,Everton,77,4.65
G,Virgínia,4.3,4.3,Everton,0,0
M,Gordon,4.3,4.3,Everton,0,0
F,Kean,5.7,5.7,Everton,0,0
D,Branthwaite,3.9,3.9,Everton,0,0
G,Fabri,3.9,3.9,Fulham,0,0
M,McDonald,4.7,4.7,Fulham,0,0
D,Le Marchand,4.1,4.1,Fulham,0,0
M,Johansen,4.7,4.7,Fulham,0,0
M,Cairney,5.2,5.2,Fulham,13,0.455
D,Ream,4.2,4.2,Fulham,0,0
M,Knockaert,5.0,5.0,Fulham,0,0
D,Hector,4.1,4.1,Fulham,0,0
D,Christie,4.2,4.2,Fulham,0,0
M,Kebano,4.7,4.7,Fulham,0,0
F,Decordova-Reid,5.3,5.3,Fulham,59,2.283
D,Bryan,4.5,4.5,Fulham,1,0.032
G,Bettinelli,4.3,4.3,Fulham,0,0
F,Mitrović,5.5,5.5,Fulham,42,2.125
D,Mawson,4.3,4.3,Fulham,0,0
G,Rodák,4.3,4.3,Fulham,0,0
M,Cavaleiro,5.3,5.3,Fulham,66,2.915
M,Onomah,4.6,4.6,Fulham,27,0.91
M,Seri,4.6,4.6,Fulham,0,0
M,Kamara,4.8,4.8,Fulham,0,0
M,Anguissa,4.4,4.4,Fulham,77,2.303
D,Sessegnon,4.3,4.3,Fulham,0,0
M,Hernández,5.7,5.7,Leeds,3,0.149
G,Casilla,4.1,4.1,Leeds,0,0
D,Cooper,4.3,4.3,Leeds,17,0.584
D,Douglas,3.8,3.8,Leeds,0,0
D,Ayling,4.4,4.4,Leeds,86,3.012
M,Klich,5.2,5.2,Leeds,47,1.932
M,Forshaw,4.8,4.8,Leeds,0,0
D,Dallas,5.3,5.2,Leeds,84,3.241
D,Alioski,4.3,4.3,Leeds,72,2.626
